Brew_ID,Name,City,State,Region
275,Portside Brewery,Cleveland, OH,MIDWEST
276,Otter Creek Brewing,Middlebury, VT,NORTHEAST
277,Montauk Brewing Company,Montauk, NY,NORTHEAST
278,Indeed Brewing Company,Minneapolis, MN,MIDWEST
279,Berkshire Brewing Company,South Deerfield, MA,NORTHEAST
280,Foolproof Brewing Company,Pawtucket, RI,NORTHEAST
281,Headlands Brewing Company,Mill Valley, CA,WEST
282,Bolero Snort Brewery,Ridgefield Park, NJ,NORTHEAST
283,Thunderhead Brewing Company,Kearney, NE,MIDWEST
284,Defiance Brewing Company,Hays, KS,MIDWEST
285,Milwaukee Brewing Company,Milwaukee, WI,MIDWEST
286,Catawba Island Brewing,Port Clinton, OH,MIDWEST
287,Back Forty Beer Company,Gadsden, AL,SOUTH
288,Four Corners Brewing Company,Dallas, TX,SOUTH
289,Saint Archer Brewery,San Diego, CA,WEST
290,Rogue Ales,Newport, OR,WEST
291,Hale's Ales,Seattle, WA,WEST
292,Tommyknocker Brewery,Idaho Springs, CO,WEST
293,Baxter Brewing Company,Lewiston, ME,NORTHEAST
294,Northampton Brewery,Northamtpon, MA,NORTHEAST
295,Black Shirt Brewing Company,Denver, CO,WEST
296,Wachusett Brewing Company,Westminster, MA,NORTHEAST
297,Widmer Brothers Brewing Company,Portland, OR,WEST
298,Hop Farm Brewing Company,Pittsburgh, PA,NORTHEAST
299,Liquid Hero Brewery,York, PA,NORTHEAST
300,Matt Brewing Company,Utica, NY,NORTHEAST
301,Boston Beer Company,Boston, MA,NORTHEAST
302,Old Forge Brewing Company,Danville, PA,NORTHEAST
303,Utah Brewers Cooperative,Salt Lake City, UT,WEST
304,Magic Hat Brewing Company,South Burlington, VT,NORTHEAST
305,Blue Hills Brewery,Canton, MA,NORTHEAST
306,Night Shift Brewing,Everett, MA,NORTHEAST
307,Beach Brewing Company,Virginia Beach, VA,SOUTH
308,Payette Brewing Company,Garden City, ID,WEST
309,Brew Bus Brewing,Tampa, FL,SOUTH
310,Sockeye Brewing Company,Boise, ID,WEST
311,Pine Street Brewery,San Francisco, CA,WEST
312,Dirty Bucket Brewing Company,Woodinville, WA,WEST
313,Jackalope Brewing Company,Nashville, TN,SOUTH
314,Slanted Rock Brewing Company,Meridian, ID,WEST
315,Piney River Brewing Company,Bucryus, MO,MIDWEST
316,Cutters Brewing Company,Avon, IN,MIDWEST
317,Iron Hill Brewery & Restaurant,Wilmington, DE,NORTHEAST
318,Marshall Wharf Brewing Company,Belfast, ME,NORTHEAST
319,Banner Beer Company,Williamsburg, MA,NORTHEAST
320,Dick's Brewing Company,Centralia, WA,WEST
321,Claremont Craft Ales,Claremont, CA,WEST
322,Rivertown Brewing Company,Lockland, OH,MIDWEST
323,Voodoo Brewery,Meadville, PA,NORTHEAST
324,D.L. Geary Brewing Company,Portland, ME,NORTHEAST
325,Pisgah Brewing Company,Black Mountain, NC,SOUTH
326,Neshaminy Creek Brewing Company,Croydon, PA,NORTHEAST
327,Morgan Street Brewery,Saint Louis, MO,MIDWEST
328,Half Acre Beer Company,Chicago, IL,MIDWEST
329,The Just Beer Project,Burlington, VT,NORTHEAST
